,RealPower1,RealPower5,RealPower8,RealPower9,RealPower12,RealPower13,RealPower16,RealPower17,RealPower21,RealPower24,RealPower25,RealPower28,RealPower29,RealPower33,RealPower36,RealPower37,RealPower40,RealPower41,RealPower_42,RealPower_43,RealPower_44,RealPower_45,RealPower_46,RealPower_47,RealPower_48
64,2.695,0.235,2.907,0.679,5.496,5.115,3.4,2.158,2.184,2.101,0.43,7.84,9.196,1.675,4.611,0.614,6.866,2.515,7.827049999999999,8.9452,5.59075,7.6088,11.413199999999998,5.462400000000001,8.1936
65,0.281,0.0,0.0,0.0,0.405,0.693,0.0,0.048,0.58,0.374,0.0,0.0,7.768,0.23,0.0,0.0,0.0,0.985,0.0,0.0,0.0,0.144,0.216,0.0,0.0
66,0.302,0.0,0.0,0.0,0.05,0.322,0.0,0.048,0.566,0.355,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.275,0.0,0.0,0.0,0.05,0.324,0.0,0.048,0.568,0.356,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.287,0.0,0.0,0.0,0.053,0.326,0.0,0.048,0.566,0.356,0.0,0.0,0.0,0.232,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.296,0.0,0.0,0.0,0.049,0.324,0.0,0.05,0.564,0.356,0.0,0.0,0.0,0.233,0.0,0.0,0.0,0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.27,0.0,0.0,0.0,0.042,0.32,0.0,0.047,0.56,0.352,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.302,0.0,0.0,0.0,0.037,0.323,0.0,0.048,0.564,0.354,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.286,0.0,0.0,0.0,0.039,0.322,0.0,0.048,0.564,0.354,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.276,0.0,0.0,0.0,0.048,0.32,0.0,0.045,0.562,0.353,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.278,0.0,0.0,0.0,0.049,0.32,0.0,0.047,0.56,0.352,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.312,0.0,0.0,0.0,0.042,0.321,0.0,0.048,0.559,0.352,0.0,0.0,0.0,0.231,0.0,0.0,0.0,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.296,0.0,0.0,0.0,0.044,0.321,0.0,0.045,0.559,0.351,0.0,0.0,0.0,0.231,0.0,0.0,0.0,0.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.311,0.0,0.0,0.0,0.043,0.32,0.0,0.047,0.558,0.351,0.0,0.0,0.0,0.231,0.0,0.0,0.0,0.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.305,0.429,0.0,0.004,0.05,0.318,0.0,0.046,0.556,0.35,0.415,0.0,0.0,0.236,0.0,0.354,0.0,0.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,4.505,44.007,0.846,7.993,0.588,0.699,3.721,5.043,2.858,2.723,3.511,0.634,1.534,2.22,10.612,12.879,13.24,2.477,2.8360499999999997,3.2412,2.02575,0.8416000000000001,1.2624,10.270000000000001,15.405
80,20.139,133.74,41.429,47.162,11.621,7.975,51.202,27.019,17.082,16.899,21.714,52.259,27.898,26.662,109.399,50.318,85.329,26.98,60.07995,68.6628,42.91425,26.071600000000004,39.1074,92.0684,138.1026
81,49.551,203.175,118.502,77.949,39.905,27.629,146.606,46.682,33.975,39.525,35.074,148.989,73.996,57.017,219.167,89.029,157.451,64.79,163.98514999999998,187.41160000000002,117.13225,90.5116,135.76739999999998,183.81920000000002,275.7288
82,71.662,241.935,153.595,97.882,68.072,51.525,195.311,61.37,45.239,53.678,41.66,213.667,106.951,70.871,286.743,112.417,203.692,90.927,205.36845,234.70680000000004,146.69175,136.9156,205.37339999999998,244.80960000000002,367.2144
83,79.751,256.85,172.125,114.836,88.241,71.523,220.551,69.937,53.695,60.79,44.457,233.765,124.312,77.098,319.865,120.587,230.121,106.326,227.4608,259.95520000000005,162.472,163.1952,244.7928,277.89000000000004,416.835
85,70.003,203.64,163.555,107.59,102.172,83.259,199.055,66.748,52.835,58.046,34.862,209.484,113.338,71.211,304.353,97.415,217.931,94.345,215.56465,246.3596,153.97475,160.63160000000002,240.9474,248.8584,373.28759999999994
86,48.855,131.259,126.287,78.51,92.082,69.2,116.168,52.673,43.223,47.299,22.029,157.397,86.037,56.58,244.567,62.482,175.114,60.839,176.13854999999998,201.3012,125.81325,131.37840000000003,197.0676,175.6424,263.4636
87,15.332,40.704,64.203,25.654,61.206,46.096,57.1,33.724,26.637,25.236,6.414,78.623,48.075,33.108,138.279,20.745,109.699,23.83,100.99005,115.41720000000001,72.13575,81.87200000000001,122.80799999999999,81.10520000000001,121.6578
88,4.032,0.187,6.447,0.72,17.579,14.919,4.991,11.596,5.45,4.412,0.508,8.503,17.728,5.012,16.547,0.659,32.414,4.142,8.42695,9.6308,6.01925,23.5564,35.334599999999995,8.0496,12.074399999999999
89,0.283,0.0,0.0,0.0,0.522,0.698,0.0,0.056,0.639,0.43,0.0,0.0,6.288,0.229,0.0,0.0,0.0,0.978,0.06999999999999999,0.08000000000000002,0.05,0.0704,0.10559999999999999,0.0,0.0
90,0.28,0.0,0.0,0.0,0.049,0.32,0.0,0.047,0.56,0.351,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.295,0.0,0.0,0.0,0.047,0.32,0.0,0.05,0.564,0.352,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.291,0.0,0.0,0.0,0.043,0.323,0.0,0.048,0.565,0.354,0.0,0.0,0.0,0.231,0.0,0.0,0.0,1.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.284,0.0,0.0,0.0,0.048,0.32,0.0,0.048,0.56,0.352,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.3,0.0,0.0,0.0,0.045,0.324,0.0,0.045,0.565,0.355,0.0,0.0,0.0,0.233,0.0,0.0,0.0,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.29,0.0,0.0,0.0,0.037,0.321,0.0,0.047,0.559,0.351,0.0,0.0,0.0,0.228,0.0,0.0,0.0,0.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.302,0.0,0.0,0.0,0.033,0.319,0.0,0.048,0.556,0.348,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.291,0.0,0.0,0.0,0.041,0.319,0.0,0.044,0.556,0.352,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.302,0.0,0.0,0.0,0.043,0.32,0.0,0.046,0.557,0.349,0.0,0.0,0.0,0.228,0.0,0.0,0.0,0.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.316,0.0,0.0,0.0,0.045,0.32,0.0,0.048,0.557,0.348,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.979,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.315,0.0,0.0,0.0,0.038,0.319,0.0,0.047,0.557,0.349,0.0,0.0,0.0,0.229,0.0,0.0,0.0,0.979,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.291,0.0,0.0,0.0,0.049,0.323,0.0,0.048,0.563,0.353,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.988,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0.32,0.237,0.0,0.0,0.048,0.32,0.0,0.048,0.555,0.351,0.376,0.0,0.0,0.234,0.0,0.35,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,4.315,44.353,0.111,6.177,0.479,0.655,3.725,5.747,2.852,2.68,3.055,0.424,0.96,1.906,11.275,12.588,14.385,2.058,2.14235,2.4484000000000004,1.53025,0.6496000000000001,0.9744,9.1468,13.7202
104,19.531,136.695,43.207,47.793,11.051,7.47,53.046,27.813,17.582,17.409,21.771,49.186,27.899,27.298,114.154,50.029,85.415,27.26,66.85594999999999,76.4068,47.75425,26.0688,39.103199999999994,93.43560000000001,140.1534
105,49.083,205.794,121.99,78.871,40.587,27.982,151.31,48.331,35.003,40.942,35.641,150.176,72.757,58.257,225.472,88.395,159.077,67.254,169.30864999999997,193.4956,120.93475,92.0228,138.0342,186.556,279.834
106,72.889,246.727,158.115,99.727,69.584,52.782,200.859,63.519,46.062,55.024,42.911,217.361,110.348,72.032,294.597,112.803,208.895,94.355,214.74005,245.4172,153.38575,139.63,209.445,250.93960000000004,376.4094
107,80.863,248.266,176.777,113.942,90.552,73.329,226.55,72.654,56.37,63.637,43.508,231.267,126.922,79.052,332.679,115.27,236.917,108.118,234.14159999999998,267.5904,167.244,167.208,250.81199999999998,284.7344,427.1016
108,70.702,220.735,160.462,110.495,96.87,79.985,196.099,66.328,51.956,57.256,38.839,222.224,114.063,68.337,297.692,105.215,219.195,95.332,213.24904999999998,243.71320000000003,152.32075,163.0716,244.60739999999998,257.0676,385.60139999999996
109,70.046,208.58,155.016,107.583,90.748,74.124,192.419,63.987,52.227,57.101,36.086,197.457,113.48,68.614,292.094,98.606,214.462,91.43,199.45205,227.94520000000003,142.46575,147.3364,221.0046,246.56439999999998,369.84659999999997
110,50.442,122.914,128.327,75.352,93.162,71.258,117.852,54.022,39.059,43.515,21.402,156.592,79.785,56.566,244.905,60.062,178.944,51.153,176.7017,201.94480000000001,126.2155,135.0064,202.5096,179.14520000000002,268.7178
111,12.778,8.694,45.487,12.759,55.128,43.456,42.004,23.068,15.79,16.104,1.582,71.674,32.701,15.79,86.687,3.905,77.361,19.437,98.2968,112.3392,70.212,71.9432,107.9148,58.2756,87.4134
112,1.942,0.0,0.416,0.57,3.368,3.178,1.436,1.061,1.991,1.858,0.344,2.538,8.649,1.231,2.025,0.453,4.133,2.145,11.429599999999999,13.0624,8.164,3.2972,4.9458,0.1996,0.2994
113,0.281,0.0,0.0,0.0,0.12,0.418,0.0,0.048,0.57,0.365,0.0,0.0,6.249,0.232,0.0,0.0,0.0,0.979,0.0119,0.013600000000000001,0.0085,0.0,0.0,0.0,0.0
114,0.296,0.0,0.0,0.0,0.056,0.323,0.0,0.048,0.564,0.352,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,0.308,0.0,0.0,0.0,0.049,0.323,0.0,0.049,0.567,0.354,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,0.303,0.0,0.0,0.0,0.042,0.32,0.0,0.045,0.561,0.352,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,0.328,0.0,0.0,0.0,0.044,0.321,0.0,0.048,0.561,0.353,0.0,0.0,0.0,0.232,0.0,0.0,0.0,0.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,0.331,0.102,0.0,0.0,0.056,0.32,0.0,0.046,0.557,0.352,0.228,0.0,0.0,0.229,0.0,0.132,0.0,0.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,2.021,9.419,0.0,3.319,0.272,0.525,0.0,0.478,1.279,1.131,1.802,0.06,0.611,1.398,0.33,3.582,1.22,1.333,1.3779499999999998,1.5748,0.98425,0.35240000000000005,0.5286,0.0,0.0
176,5.623,34.779,4.312,9.382,3.458,3.122,5.813,2.755,3.559,3.664,5.872,10.931,6.22,3.664,9.474,12.393,10.337,5.762,13.3448,15.2512,9.532,4.9172,7.375799999999999,2.2632000000000003,3.3948
177,17.714,79.697,21.477,32.347,11.027,9.077,28.776,9.811,9.482,10.224,14.132,44.101,21.781,12.747,41.019,34.654,37.379,16.998,30.512649999999997,34.8716,21.79475,25.3652,38.047799999999995,42.2156,63.3234
178,25.819,65.302,41.853,34.214,24.957,20.709,54.435,18.487,15.193,17.452,11.694,81.448,39.215,18.803,77.776,30.993,68.676,30.221,56.4186,64.47840000000001,40.299,50.733200000000004,76.0998,84.84880000000001,127.2732
179,32.916,127.689,43.554,57.117,21.401,16.992,61.047,19.173,17.156,18.601,22.425,79.071,40.028,25.993,79.515,57.907,71.819,31.83,58.3009,66.62960000000001,41.6435,49.242000000000004,73.863,86.5424,129.81359999999998
180,32.938,93.52,63.128,47.182,43.51,35.89,77.716,27.952,23.482,25.82,16.749,126.482,60.741,25.1,121.706,42.295,101.959,46.755,88.21435,100.8164,63.01025,81.9552,122.9328,126.48440000000001,189.7266
181,22.157,50.614,35.571,30.195,29.063,24.27,44.803,16.249,14.14,15.404,9.127,81.585,35.909,15.893,65.649,24.664,60.752,26.085,55.40465,63.31960000000001,39.57475,55.27720000000001,82.9158,74.1144,111.1716
182,15.51,39.173,21.431,23.822,15.19,12.733,28.68,9.878,9.738,10.465,7.167,46.067,25.301,10.962,41.351,20.189,38.265,18.222,26.585299999999997,30.383200000000002,18.9895,30.5828,45.874199999999995,47.076,70.61399999999999
183,7.6,4.023,10.382,6.116,10.898,9.503,13.316,5.432,5.685,6.032,1.275,32.583,13.232,5.049,20.231,3.795,20.593,10.065,19.659149999999997,22.4676,14.04225,20.7992,31.1988,24.618000000000002,36.927
