Supply,Month,Day,Hour,DHI,DNI,GHI,Temp,Weekday,target
0.0003938412962333153,0.0,0.0,0.0,0.0,0.0,0.0,0.3115384615384616,0.0,2.7840000000000003
0.0003945410853168855,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.30769230769230765,0.0,2.8160000000000003
0.00039845990418487865,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.3019230769230769,0.0,2.819
0.00039943960890187697,0.0,0.0,0.13043478260869565,0.0,0.0,0.0,0.2923076923076923,0.0,2.841
0.0003948210009503135,0.0,0.0,0.17391304347826086,0.0,0.0,0.0,0.2788461538461539,0.0,2.815
0.0003918818867993187,0.0,0.0,0.21739130434782608,0.0,0.0,0.0,0.2653846153846154,0.0,2.828
0.0006309298377469029,0.0,0.0,0.2608695652173913,0.0,0.0,0.0,0.2673076923076923,0.0,8.573
0.025459866396268165,0.0,0.0,0.30434782608695654,0.10904255319148935,0.3069651741293532,0.04462188821042743,0.3153846153846153,0.0,300.45700000000005
0.17942522123831878,0.0,0.0,0.34782608695652173,0.2632978723404255,0.673134328358209,0.20056364490371067,0.4057692307692308,0.0,1471.7639999999997
0.38473676034043336,0.0,0.0,0.3913043478260869,0.3377659574468085,0.8159203980099502,0.357444809769845,0.4692307692307694,0.0,2873.1899999999996
0.5308801527219695,0.0,0.0,0.43478260869565216,0.39095744680851063,0.8761194029850746,0.4758102395490841,0.5211538461538463,0.0,3841.893000000001
0.5111892075728376,0.0,0.0,0.4782608695652174,0.4228723404255319,0.8980099502487562,0.5420385157350869,0.5538461538461539,0.0,4323.013999999999
0.5841728702968922,0.0,0.0,0.5217391304347826,0.4361702127659574,0.8960199004975123,0.5486143729450447,0.5692307692307692,0.0,4343.434000000001
0.45825772112285346,0.0,0.0,0.5652173913043478,0.4308510638297872,0.8681592039800995,0.4955378111789573,0.5634615384615385,0.0,3442.3340000000003
0.2128001220432162,0.0,0.0,0.6086956521739131,0.3962765957446808,0.8024875621890547,0.38656646312822923,0.5230769230769232,0.0,3032.302
0.12997658505726375,0.0,0.0,0.6521739130434783,0.32180851063829785,0.6771144278606964,0.23720056364490372,0.4826923076923077,0.0,1520.737
0.04275095486220453,0.0,0.0,0.6956521739130435,0.17553191489361702,0.38358208955223877,0.07609206200093942,0.4000000000000001,0.0,270.689
0.0015573106265771492,0.0,0.0,0.7391304347826086,0.0,0.0,0.0,0.36153846153846153,0.0,10.905999999999999
0.0003942611696834574,0.0,0.0,0.7826086956521738,0.0,0.0,0.0,0.3442307692307692,0.0,2.822
0.0003987398198183068,0.0,0.0,0.8260869565217391,0.0,0.0,0.0,0.3346153846153846,0.0,2.834
0.0003994396089018769,0.0,0.0,0.8695652173913043,0.0,0.0,0.0,0.3326923076923077,0.0,2.822
0.00039692036820102413,0.0,0.0,0.9130434782608695,0.0,0.0,0.0,0.3269230769230769,0.0,2.828
0.0003985998620015927,0.0,0.0,0.9565217391304348,0.0,0.0,0.0,0.3269230769230769,0.0,2.813
0.0003890827304650378,0.0,0.0,1.0,0.0,0.0,0.0,0.3326923076923077,0.0,2.7529999999999997
0.000389642561731894,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.3346153846153846,0.16666666666666666,2.7809999999999997
0.0003941212118667434,0.0,0.03333333333333333,0.043478260869565216,0.0,0.0,0.0,0.3326923076923077,0.16666666666666666,2.813
0.0003945410853168855,0.0,0.03333333333333333,0.08695652173913043,0.0,0.0,0.0,0.33846153846153854,0.16666666666666666,2.7859999999999996
0.0003976201572845944,0.0,0.03333333333333333,0.13043478260869565,0.0,0.0,0.0,0.3326923076923077,0.16666666666666666,2.774
0.0003939812540500293,0.0,0.03333333333333333,0.17391304347826086,0.0,0.0,0.0,0.3326923076923077,0.16666666666666666,2.771
0.00039580070566731183,0.0,0.03333333333333333,0.21739130434782608,0.0,0.0,0.0,0.33076923076923087,0.16666666666666666,2.832
0.0011998583626894855,0.0,0.03333333333333333,0.2608695652173913,0.0,0.0,0.0,0.33076923076923076,0.16666666666666666,3.602
0.04205130573645104,0.0,0.03333333333333333,0.30434782608695654,0.11436170212765957,0.2582089552238806,0.04180366369187412,0.3711538461538461,0.16666666666666666,77.129
0.20598487615832584,0.0,0.03333333333333333,0.34782608695652173,0.2845744680851064,0.6343283582089552,0.19586660403945516,0.4634615384615384,0.16666666666666666,477.16700000000003
0.4021253994046194,0.0,0.03333333333333333,0.3913043478260869,0.3670212765957447,0.7875621890547263,0.35227806481916396,0.551923076923077,0.16666666666666666,841.478
0.5377029563289626,0.0,0.03333333333333333,0.43478260869565216,0.4015957446808511,0.8661691542288557,0.4739314232033819,0.6307692307692307,0.16666666666666666,1411.6700000000003
0.6050396010642392,0.0,0.03333333333333333,0.4782608695652174,0.4281914893617021,0.8920398009950248,0.5396899953029591,0.675,0.16666666666666666,1718.5490000000002
0.6078975396815401,0.0,0.03333333333333333,0.5217391304347826,0.4361702127659574,0.8895522388059701,0.5467355565993425,0.698076923076923,0.16666666666666666,1841.1980000000003
0.4817815510405164,0.0,0.03333333333333333,0.5652173913043478,0.4202127659574468,0.8681592039800995,0.4955378111789573,0.6942307692307692,0.16666666666666666,1625.667
0.42439436753762416,0.0,0.03333333333333333,0.6086956521739131,0.3829787234042553,0.808457711442786,0.3879755753875059,0.6711538461538462,0.16666666666666666,1228.7909999999997
0.2128390303162627,0.0,0.03333333333333333,0.6521739130434783,0.32180851063829785,0.6766169154228855,0.23813997181775481,0.6288461538461538,0.16666666666666666,720.662
